	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ENSDARG00000009978.4	8.7845356589533e-07	-1.50230730860292	0.346	0.378	0.0192987463891545	8	ENSDARG00000009978
ENSDARG00000035327.5	1.2216943653496e-06	-1.18853331208217	0.312	0.355	0.0268394035123654	8	ENSDARG00000035327
ENSDARG00000068457.5	4.79742858205611e-06	-1.15166901723066	0.374	0.395	0.105394708519191	8	ENSDARG00000068457
ENSDARG00000045677.5	1.09455900679354e-05	-1.48983209892339	0.421	0.43	0.240463668202472	8	ENSDARG00000045677
ENSDARG00000021339.5	1.25808062440494e-05	-1.0789005781908	0.318	0.356	0.27638773237552	8	ENSDARG00000021339
ENSDARG00000090268.4	1.42931557580663e-05	-1.10621268274048	0.228	0.277	0.314006338848958	8	ENSDARG00000090268
ENSDARG00000039914	4.35556070883912e-05	-1.02970608741179	0.492	0.465	0.956873132124865	8	ENSDARG00000039914
ENSDARG00000100582.2	8.20369243996767e-05	-1.11852928052662	0.11	0.157	1	8	ENSDARG00000100582
ENSDARG00000023151.3	8.80663831120415e-05	-1.00493326590377	0.082	0.129	1	8	ENSDARG00000023151
ENSDARG00000098475.4	0.000142287577137331	-1.19950817122306	0.234	0.271	1	8	ENSDARG00000098475
ENSDARG00000038153.5	0.000220979677404826	-1.41709785422615	0.182	0.222	1	8	ENSDARG00000038153
ENSDARG00000006427.3	0.000225179236835749	-1.10775320426936	0.084	0.128	1	8	ENSDARG00000006427
ENSDARG00000095556.1	0.000252456572409772	-1.21889658877965	0.328	0.351	1	8	ENSDARG00000095556
ENSDARG00000040565.5	0.000257553648089919	-1.25177066095428	0.306	0.323	1	8	ENSDARG00000040565
ENSDARG00000016771.4	0.000488190005175745	-1.09589961299983	0.084	0.125	1	8	ENSDARG00000016771
ENSDARG00000092170.1	0.000605065359014056	-1.09000735614637	0.064	0.101	1	8	ENSDARG00000092170
ENSDARG00000019902.4	0.000695048758824123	-1.00048063377892	0.14	0.179	1	8	ENSDARG00000019902
ENSDARG00000017624.5	0.000792509315543775	-1.19657277091754	0.686	0.606	1	8	ENSDARG00000017624
ENSDARG00000002193.6	0.001882707997173	-2.0033376695903	0.427	0.415	1	8	ENSDARG00000002193
ENSDARG00000055514.5	0.00282485632500594	-1.32125477909831	0.16	0.195	1	8	ENSDARG00000055514
ENSDARG00000115405.5	0.00291064810874428	-2.1278643082316	0.085	0.12	1	8	ENSDARG00000115405
ENSDARG00000088091.4	0.00300118547571848	-1.12490211856127	0.334	0.333	1	8	ENSDARG00000088091
ENSDARG00000037790.1	0.00356800878160204	-1.10282638348532	0.12	0.152	1	8	ENSDARG00000037790
ENSDARG00000038439.4	0.00495218292404754	-1.74032211925855	0.408	0.401	1	8	ENSDARG00000038439
ENSDARG00000056511.5	0.00510673004504092	-1.15840973227216	0.284	0.298	1	8	ENSDARG00000056511
ENSDARG00000067990.4	0.00706793781401999	-1.17883565938971	0.144	0.174	1	8	ENSDARG00000067990
